0,1,2,3,4,5
4698317,0.2709578796138352,5,2020-09-10,False,True
4698320,0.37992514020733764,5,2020-09-10,False,True
4698323,0.21888203727208802,5,2020-09-10,False,True
4698321,0.17268266117900777,5,2020-09-10,False,True
4698322,0.22146292998188305,5,2020-09-10,False,True
4698334,0.001416042993121396,5,2020-09-12,False,True
4698330,1.572732433489104,5,2020-09-12,False,True
4698327,,4,2020-09-13,True,False
4698332,,5,2020-09-13,True,False
4698331,,5,2020-09-13,True,False
4698333,,5,2020-09-13,True,False
4698335,,5,2020-09-13,True,False
4698336,,5,2020-09-13,True,False
4698329,,5,2020-09-13,True,False
4698328,,5,2020-09-13,True,False
4698345,0.7558571627476711,5,2020-09-19,False,True
4698340,0.379074813452489,5,2020-09-19,False,True
4698346,,5,2020-09-20,True,False
4698344,,5,2020-09-20,True,False
4698342,,5,2020-09-20,True,False
4698338,,5,2020-09-20,True,False
4698343,,5,2020-09-20,True,False
4698354,1.1411416984937237,5,2020-09-26,False,True
4698352,0.0,4,2020-09-26,False,True
4698351,0.02172850797601276,5,2020-09-27,False,True
4698348,0.0,5,2020-09-27,False,True
4698349,0.9703270110673413,5,2020-09-27,False,True
4698356,0.0,5,2020-09-27,False,True
4698355,0.00527309661516673,5,2020-09-27,False,True
4698350,0.0,3,2020-09-27,False,True
4786982,0.863711965515575,5,2020-10-01,False,True
4786983,0.5172432377963032,5,2020-10-01,False,True
4698362,,5,2020-10-03,False,False
4698359,,5,2020-10-03,False,False
4698360,0.2076609869872188,5,2020-10-04,True,True
4698358,0.1313464798328687,5,2020-10-04,True,True
4698364,0.0786660062104074,5,2020-10-04,True,True
4698357,0.05352808123534322,5,2020-10-04,True,True
4698363,0.0,5,2020-10-04,True,True
4698365,0.1166368749070502,3,2020-10-04,True,True
4698366,0.10340497893464262,5,2020-10-04,True,True
4698361,0.40774310151975257,5,2020-10-04,True,True
4698371,0.0,5,2020-10-07,False,True
4698373,0.0,5,2020-10-07,False,True
4698367,0.16855757256222542,5,2020-10-07,False,True
4698372,0.11702552064054964,5,2020-10-07,False,True
4698376,0.18122372781337692,5,2020-10-07,False,True
4698369,0.0,5,2020-10-07,False,True
4698368,0.40599898791464595,5,2020-10-08,False,True
4698375,1.014272263508725,5,2020-10-08,False,True
4698374,0.0,3,2020-10-08,False,True
4698378,0.0,5,2020-10-10,False,True
4698384,2.555808718819231,5,2020-10-10,False,True
